2025-12-30T06:24:38.899485506Z [inf]  100.64.0.5:32518 - "GET /api/agents/bbeda238-e8d9-4d8c-b93b-1b7694581adb/kb HTTP/1.1" 200
2025-12-30T06:26:27.962910208Z [err]  2025-12-30 06:26:27,960 - httpx - INFO - HTTP Request: POST https://api.telnyx.com/v2/calls "HTTP/1.1 200 OK"
2025-12-30T06:26:27.962918235Z [err]  2025-12-30 06:26:27,961 - telnyx_service - INFO - ✅ Call initiated: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:28.056799545Z [err]  2025-12-30 06:26:28,052 - server - INFO - 📝 Created call log: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:28.056808472Z [err]  2025-12-30 06:26:28,052 - server - INFO - 🔍 DEBUG Call Initiated Webhook (UI Trigger): url='https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', active=True, should_fire=True
2025-12-30T06:26:28.056812468Z [err]  2025-12-30 06:26:28,052 - server - INFO - 🔍 DEBUG Agent Settings Webhook Context: {'temperature': 0.2, 'max_tokens': 500, 'tts_speed': 1, 'llm_provider': 'grok', 'tts_provider': 'elevenlabs', 'stt_provider': 'soniox', 'enable_comfort_noise': True, 'dead_air_settings': {'silence_timeout_normal': 7, 'silence_timeout_hold_on': 25, 'max_checkins_before_disconnect': 2, 'max_call_duration': 1500, 'checkin_message': 'Are you still there?'}, 'voicemail_detection': {'enabled': True, 'use_telnyx_amd': True, 'telnyx_amd_mode': 'premium', 'use_llm_detection': True, 'disconnect_on_detection': True}, 'deepgram_settings': {'endpointing': 500, 'vad_turnoff': 250, 'utterance_end_ms': 1000, 'interim_results': True, 'smart_format': True}, 'elevenlabs_settings': {'voice_id': 'J5iaaqzR5zn6HFG4jV3b', 'model': 'eleven_turbo_v2_5', 'stability': 0.6, 'similarity_boost': 0.65, 'style': 0.2, 'speed': 1.1, 'use_speaker_boost': True, 'enable_normalization': True, 'enable_ssml_parsing': True}, 'hume_settings': {'voice_name': 'e7af7ed6-3381-48aa-ab97-49485007470b', 'description': 'warm and friendly', 'speed': 1}, 'sesame_settings': {'speaker_id': 0, 'output_format': 'wav'}, 'melo_settings': {'voice': 'EN-US', 'speed': 1.2, 'clone_wav': None}, 'dia_settings': {'voice': 'S1', 'speed': 1, 'response_format': 'wav'}, 'kokoro_settings': {'voice': 'af_bella', 'speed': 1, 'response_format': 'mp3'}, 'chattts_settings': {'voice': 'female_1', 'speed': 1, 'temperature': 0.3, 'response_format': 'wav'}, 'assemblyai_settings': {'sample_rate': 8000, 'word_boost': [], 'enable_extra_session_information': True, 'disable_partial_transcripts': False, 'threshold': 0, 'end_of_turn_confidence_threshold': 0.8, 'min_end_of_turn_silence_when_confident': 500, 'max_turn_silence': 2000}, 'soniox_settings': {'model': 'stt-rt-v3', 'sample_rate': 8000, 'audio_format': 'mulaw', 'num_channels': 1, 'enable_endpoint_detection': True, 'enable_speaker_diarization': False, 'language_hints': ['en'], 'context': ''}, 'post_call_webhook_url': 'https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', 'post_call_webhook_active': True, 'call_started_webhook_url': 'https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', 'call_started_webhook_active': True}
2025-12-30T06:26:28.057616043Z [err]  2025-12-30 06:26:28,052 - server - INFO - 🔍 DEBUG Call Initiated Webhook: url='https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', active=True, should_fire=True
2025-12-30T06:26:28.057626424Z [err]  2025-12-30 06:26:28,052 - server - INFO - 📤 Sending call-initiated webhook to: https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b
2025-12-30T06:26:28.097383631Z [err]  2025-12-30 06:26:28,093 - redis_service - INFO - 📦 Stored call data in Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA (TTL: 3600s)
2025-12-30T06:26:28.097392184Z [err]  2025-12-30 06:26:28,093 - server - INFO - 📦 Call data stored in Redis and memory
2025-12-30T06:26:28.097397651Z [err]  2025-12-30 06:26:28,093 - server - INFO - 📞 Outbound call initiated: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:28.097402506Z [inf]  100.64.0.4:34418 - "POST /api/telnyx/call/outbound HTTP/1.1" 200
2025-12-30T06:26:28.172273067Z [err]  2025-12-30 06:26:28,164 - server - INFO - 📨 ========== TELNYX WEBHOOK RECEIVED ==========
2025-12-30T06:26:28.172282603Z [err]  2025-12-30 06:26:28,165 - server - INFO - 📨 Full payload: {'data': {'event_type': 'call.initiated', 'id': '4eb1250e-37f5-4cb6-a2f9-867af5f87dbd', 'occurred_at': '2025-12-30T06:26:27.769242Z', 'payload': {'call_control_id': 'v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA', 'call_leg_id': '78c63b92-e548-11f0-8f9e-02420aef981f', 'call_session_id': '78c35120-e548-11f0-b542-02420aef981f', 'client_state': None, 'connection_id': '2777245537294877821', 'direction': 'outgoing', 'from': '+14048000152', 'state': 'bridging', 'to': '+17708336397'}, 'record_type': 'event'}, 'meta': {'attempt': 1, 'delivered_to': 'https://api.li-ai.org/api/telnyx/webhook'}}
2025-12-30T06:26:28.172289965Z [err]  2025-12-30 06:26:28,165 - server - INFO - 🎯 Event type: call.initiated, Call ID: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:28.172296920Z [err]  2025-12-30 06:26:28,165 - server - INFO - 📨 ================================================
2025-12-30T06:26:28.172303790Z [err]  2025-12-30 06:26:28,165 - server - INFO - 📞 Call initiated - Direction: outgoing, From: +14048000152, To: +17708336397
2025-12-30T06:26:28.172312619Z [inf]  100.64.0.12:41108 - "POST /api/telnyx/webhook HTTP/1.1" 200
2025-12-30T06:26:28.264751320Z [err]  2025-12-30 06:26:28,253 - server - INFO - 🔌🔌🔌 WEBSOCKET CONNECTION ATTEMPT
2025-12-30T06:26:28.264766071Z [err]  2025-12-30 06:26:28,253 - server - INFO -    Client: Address(host='100.64.0.7', port=27552)
2025-12-30T06:26:28.264782156Z [err]  2025-12-30 06:26:28,253 - server - INFO -    Headers: {'host': 'api.li-ai.org', 'user-agent': 'telnyx-websocket', 'connection': 'Upgrade', 'sec-websocket-key': 'g7Xj5LAn9+me3OJkY+FFEA==', 'sec-websocket-version': '13', 'upgrade': 'websocket', 'x-forwarded-for': '192.76.120.151', 'x-forwarded-host': 'api.li-ai.org', 'x-forwarded-proto': 'https', 'x-railway-edge': 'railway/us-west2', 'x-railway-request-id': 'XRaOvShIQhuVMGptLPU1MQ', 'x-real-ip': '192.76.120.151', 'x-request-start': '1767075988023', 'accept-encoding': 'gzip'}
2025-12-30T06:26:28.264790058Z [err]  2025-12-30 06:26:28,253 - server - INFO -    Path: /api/telnyx/audio-stream
2025-12-30T06:26:28.264798593Z [err]  2025-12-30 06:26:28,253 - server - INFO - 🔌 Incoming Telnyx WebSocket connection
2025-12-30T06:26:28.264806346Z [err]  [2025-12-30 06:26:28 +0000] [5] [INFO] ('100.64.0.7', 27552) - "WebSocket /api/telnyx/audio-stream" [accepted]
2025-12-30T06:26:28.264816202Z [err]  2025-12-30 06:26:28,253 - server - INFO - ✅ WebSocket accepted, waiting for Telnyx events
2025-12-30T06:26:28.264839909Z [err]  [2025-12-30 06:26:28 +0000] [5] [INFO] connection open
2025-12-30T06:26:28.420511343Z [err]  2025-12-30 06:26:28,415 - server - INFO - 📬 Received Telnyx event: connected
2025-12-30T06:26:28.420517920Z [err]  2025-12-30 06:26:28,415 - server - INFO - 📞 Telnyx connected event received, waiting for 'start'...
2025-12-30T06:26:28.624876841Z [err]  2025-12-30 06:26:28,624 - httpx - INFO - HTTP Request: POST https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b "HTTP/1.1 200 OK"
2025-12-30T06:26:28.626259403Z [err]  2025-12-30 06:26:28,625 - server - INFO - ✅ Call-initiated webhook sent successfully (status=200)
2025-12-30T06:26:31.656879208Z [err]  2025-12-30 06:26:31,633 - server - INFO - 📬 Received Telnyx event: start
2025-12-30T06:26:31.656885591Z [err]  2025-12-30 06:26:31,633 - server - INFO - 🎬 Stream started for call: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:31.667647147Z [err]  2025-12-30 06:26:31,662 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:31.667653214Z [err]  2025-12-30 06:26:31,665 - server - INFO - ✅ Call data found after 0s wait
2025-12-30T06:26:31.667657674Z [err]  2025-12-30 06:26:31,665 - server - INFO - ⏳ Session not found locally, waiting briefly for webhook...
2025-12-30T06:26:31.872216045Z [err]  2025-12-30 06:26:31,811 - server - INFO - ✅ Call answered: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:31.872228943Z [err]  2025-12-30 06:26:31,818 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:31.872235956Z [err]  2025-12-30 06:26:31,820 - server - INFO - ✅ Found call in Redis (multi-worker state sharing working)
2025-12-30T06:26:31.872242648Z [err]  2025-12-30 06:26:31,820 - server - INFO - 📞 Phone numbers added to session: from=+14048000152, to=+17708336397
2025-12-30T06:26:31.872276283Z [err]  2025-12-30 06:26:31,810 - server - INFO - 📨 ========== TELNYX WEBHOOK RECEIVED ==========
2025-12-30T06:26:31.872283616Z [err]  2025-12-30 06:26:31,810 - server - INFO - 📨 Full payload: {'data': {'event_type': 'call.answered', 'id': 'd2cd1a77-70c4-4906-9d0c-f2e89714059e', 'occurred_at': '2025-12-30T06:26:31.349216Z', 'payload': {'call_control_id': 'v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA', 'call_leg_id': '78c63b92-e548-11f0-8f9e-02420aef981f', 'call_session_id': '78c35120-e548-11f0-b542-02420aef981f', 'client_state': None, 'codec': 'PCMU', 'connection_id': '2777245537294877821', 'from': '+14048000152', 'sampling_rate': 8000, 'start_time': '2025-12-30T06:26:27.769242Z', 'to': '+17708336397'}, 'record_type': 'event'}, 'meta': {'attempt': 1, 'delivered_to': 'https://api.li-ai.org/api/telnyx/webhook'}}
2025-12-30T06:26:31.872291262Z [err]  2025-12-30 06:26:31,810 - server - INFO - 🎯 Event type: call.answered, Call ID: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:31.872298491Z [err]  2025-12-30 06:26:31,810 - server - INFO - 📨 ================================================
2025-12-30T06:26:31.917916864Z [err]  2025-12-30 06:26:31,914 - server - INFO - ✅ Call log updated
2025-12-30T06:26:31.917921914Z [err]  2025-12-30 06:26:31,914 - server - INFO - 🔍 DEBUG Webhook: url='https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b', active=True, should_fire=True
2025-12-30T06:26:31.917926280Z [err]  2025-12-30 06:26:31,914 - server - INFO - 📤 Sending call-started webhook to: https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b
2025-12-30T06:26:31.917930001Z [err]  2025-12-30 06:26:31,914 - server - INFO - 🔧 Getting Telnyx API keys for user: dcafa642-6136-4096-b77d-a4cb99a62651
2025-12-30T06:26:32.004669770Z [err]  2025-12-30 06:26:32,002 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:32.097483290Z [err]  2025-12-30 06:26:32,089 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:32.097499421Z [err]  2025-12-30 06:26:32,089 - server - INFO - 🔧 Creating Telnyx service with user's keys...
2025-12-30T06:26:32.125175089Z [err]  2025-12-30 06:26:32,116 - telnyx_service - INFO - Telnyx service initialized with connection: 2777245537294877821
2025-12-30T06:26:32.168813908Z [err]  2025-12-30 06:26:32,165 - server - INFO - ⚠️ Session still not found after wait, will create in worker
2025-12-30T06:26:32.168819498Z [err]  2025-12-30 06:26:32,165 - server - WARNING - ⚠️ Session not found after waiting, creating in WebSocket worker...
2025-12-30T06:26:32.174133273Z [err]  2025-12-30 06:26:32,173 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:32.175067500Z [err]  2025-12-30 06:26:32,174 - server - INFO - 📝 Creating session with agent_id=bbeda238-e8d9-4d8c-b93b-1b7694581adb, user_id=dcafa642-6136-4096-b77d-a4cb99a62651
2025-12-30T06:26:32.175075181Z [err]  2025-12-30 06:26:32,174 - core_calling_service - INFO - 🔍 Checking KB for agent bbeda238-e8d9-4d8c-b93b-1b7694581adb...
2025-12-30T06:26:32.252367051Z [err]  2025-12-30 06:26:32,247 - server - INFO - 📨 ========== TELNYX WEBHOOK RECEIVED ==========
2025-12-30T06:26:32.252379721Z [err]  2025-12-30 06:26:32,247 - server - INFO - 📨 Full payload: {'data': {'event_type': 'streaming.started', 'id': 'e206e307-c28f-4a21-b0e3-0a2acae341a1', 'occurred_at': '2025-12-30T06:26:31.869213Z', 'payload': {'call_control_id': 'v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA', 'call_leg_id': '78c63b92-e548-11f0-8f9e-02420aef981f', 'call_session_id': '78c35120-e548-11f0-b542-02420aef981f', 'client_state': None, 'connection_id': '2777245537294877821', 'stream_id': '5c17f660-c239-4674-a8b9-2a152b6b2249', 'stream_params': {'stream_track': 'inbound', 'stream_url': 'wss://api.li-ai.org/api/telnyx/audio-stream'}, 'stream_type': 'websocket'}, 'record_type': 'event'}, 'meta': {'attempt': 1, 'delivered_to': 'https://api.li-ai.org/api/telnyx/webhook'}}
2025-12-30T06:26:32.252388046Z [err]  2025-12-30 06:26:32,247 - server - INFO - 🎯 Event type: streaming.started, Call ID: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:32.252395158Z [err]  2025-12-30 06:26:32,247 - server - INFO - 📨 ================================================
2025-12-30T06:26:32.252403840Z [inf]  100.64.0.10:23350 - "POST /api/telnyx/webhook HTTP/1.1" 200
2025-12-30T06:26:32.265376154Z [err]  2025-12-30 06:26:32,262 - core_calling_service - INFO - 🔍 KB count query completed: 4 items
2025-12-30T06:26:32.265382329Z [err]  2025-12-30 06:26:32,262 - core_calling_service - INFO - 📚 Agent bbeda238-e8d9-4d8c-b93b-1b7694581adb has 4 KB items - Smart routing enabled (RAG on demand)
2025-12-30T06:26:32.265387257Z [err]  2025-12-30 06:26:32,262 - core_calling_service - INFO - 📋 Built cached system prompt: 5065 chars (global) + 1402 chars (technical)
2025-12-30T06:26:32.265391467Z [err]  2025-12-30 06:26:32,262 - core_calling_service - INFO - 📚 KB available - will use smart routing (simple chat: NO KB, factual: WITH KB)
2025-12-30T06:26:32.265396413Z [err]  2025-12-30 06:26:32,262 - core_calling_service - INFO - 🔥 Pre-warming LLM client (grok)...
2025-12-30T06:26:32.310896912Z [err]  2025-12-30 06:26:32,300 - httpx - INFO - HTTP Request: POST https://n8n.outlier-agency.com/webhook/2adb150a-9e08-4053-9fa4-e47df18bf39b "HTTP/1.1 200 OK"
2025-12-30T06:26:32.310906814Z [err]  2025-12-30 06:26:32,301 - server - INFO - ✅ Call-started webhook sent successfully (status=200)
2025-12-30T06:26:32.363471538Z [err]  2025-12-30 06:26:32,358 - server - INFO - ⏱️ [WebSocket Worker] Silence timeout task started, waiting 2000ms...
2025-12-30T06:26:32.363475946Z [err]  2025-12-30 06:26:32,350 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:32.363482390Z [err]  2025-12-30 06:26:32,357 - core_calling_service - INFO - ✅ LLM client pre-warmed in 94ms
2025-12-30T06:26:32.363488196Z [err]  2025-12-30 06:26:32,357 - server - INFO - ✅ Session created in WebSocket worker
2025-12-30T06:26:32.363494878Z [err]  2025-12-30 06:26:32,357 - server - INFO - ⏱️ [WebSocket Worker] Scheduling silence timeout: 2000ms
2025-12-30T06:26:32.363501642Z [err]  2025-12-30 06:26:32,357 - server - INFO - ⏱️ [WebSocket Worker] Silence timeout task scheduled!
2025-12-30T06:26:32.363507423Z [err]  2025-12-30 06:26:32,357 - server - INFO - 📞 Call data loaded, starting SONIOX connection...
2025-12-30T06:26:32.363513702Z [err]  2025-12-30 06:26:32,357 - server - INFO - ✅ Initialized call_states for v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA with session reference
2025-12-30T06:26:32.363519997Z [err]  2025-12-30 06:26:32,357 - server - INFO - ✅ Stored Telnyx WebSocket in call_data for audio streaming
2025-12-30T06:26:32.363526818Z [err]  2025-12-30 06:26:32,357 - persistent_tts_service - WARNING - ⚠️  No persistent TTS session found to update for call v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:32.407917621Z [err]  2025-12-30 06:26:32,407 - httpx - INFO - HTTP Request: POST https://api.telnyx.com/v2/calls/v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA/actions/playback_start "HTTP/1.1 200 OK"
2025-12-30T06:26:32.408818162Z [err]  2025-12-30 06:26:32,407 - telnyx_service - INFO - ✅ Playing audio from URL, playback_id: f7l0J3Jvmg (loop=True, overlay=True)
2025-12-30T06:26:32.408867906Z [err]  2025-12-30 06:26:32,407 - server - INFO - 🎵 Comfort noise started as continuous background overlay (playback_id: f7l0J3Jvmg)
2025-12-30T06:26:32.408876658Z [err]  2025-12-30 06:26:32,407 - telnyx_service - INFO - 🎙️ Starting recording: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:32.715202099Z [err]  2025-12-30 06:26:32,711 - server - INFO - 📨 ========== TELNYX WEBHOOK RECEIVED ==========
2025-12-30T06:26:32.715210970Z [err]  2025-12-30 06:26:32,711 - server - INFO - 📨 Full payload: {'data': {'event_type': 'call.playback.started', 'id': '7d996384-fe71-456d-a9da-ee5f34160def', 'occurred_at': '2025-12-30T06:26:32.509211Z', 'payload': {'call_control_id': 'v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA', 'call_leg_id': '78c63b92-e548-11f0-8f9e-02420aef981f', 'call_session_id': '78c35120-e548-11f0-b542-02420aef981f', 'client_state': None, 'connection_id': '2777245537294877821', 'media_name': None, 'media_url': 'api.li-ai.org/api/tts-audio/comfort_noise_continuous.mp3', 'overlay': True, 'playback_id': 'f7l0J3Jvmg', 'start_time': '2025-12-30T06:26:32.509211Z'}, 'record_type': 'event'}, 'meta': {'attempt': 1, 'delivered_to': 'https://api.li-ai.org/api/telnyx/webhook'}}
2025-12-30T06:26:32.715216939Z [err]  2025-12-30 06:26:32,711 - server - INFO - 🎯 Event type: call.playback.started, Call ID: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:32.715222523Z [err]  2025-12-30 06:26:32,711 - server - INFO - 📨 ================================================
2025-12-30T06:26:32.715227765Z [inf]  100.64.0.10:23350 - "POST /api/telnyx/webhook HTTP/1.1" 200
2025-12-30T06:26:33.986941444Z [err]  2025-12-30 06:26:33,983 - httpx - INFO - HTTP Request: POST https://api.telnyx.com/v2/calls/v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA/actions/record_start "HTTP/1.1 200 OK"
2025-12-30T06:26:33.986947919Z [err]  2025-12-30 06:26:33,983 - server - INFO - 🎙️ Call recording started for v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:33.986952371Z [err]  2025-12-30 06:26:33,984 - server - INFO - 🔧 Creating call session for v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA...
2025-12-30T06:26:33.986956577Z [err]  2025-12-30 06:26:33,984 - server - INFO - 🔍 Agent ID: bbeda238-e8d9-4d8c-b93b-1b7694581adb, User ID: dcafa642-6136-4096-b77d-a4cb99a62651
2025-12-30T06:26:33.986962401Z [err]  2025-12-30 06:26:33,984 - server - INFO - 🔧 Calling create_call_session() - START
2025-12-30T06:26:33.986966080Z [err]  2025-12-30 06:26:33,984 - core_calling_service - INFO - 🔍 Checking KB for agent bbeda238-e8d9-4d8c-b93b-1b7694581adb...
2025-12-30T06:26:33.986970860Z [err]  2025-12-30 06:26:33,985 - server - INFO - 🔑 Using user's Soniox API key (first 10 chars): b999f22d7b...
2025-12-30T06:26:34.074571690Z [err]  2025-12-30 06:26:34,072 - core_calling_service - INFO - 🔍 KB count query completed: 4 items
2025-12-30T06:26:34.074581232Z [err]  2025-12-30 06:26:34,072 - core_calling_service - INFO - 📚 Agent bbeda238-e8d9-4d8c-b93b-1b7694581adb has 4 KB items - Smart routing enabled (RAG on demand)
2025-12-30T06:26:34.074587579Z [err]  2025-12-30 06:26:34,072 - core_calling_service - INFO - 📋 Built cached system prompt: 5065 chars (global) + 1402 chars (technical)
2025-12-30T06:26:34.074597295Z [err]  2025-12-30 06:26:34,072 - core_calling_service - INFO - 📚 KB available - will use smart routing (simple chat: NO KB, factual: WITH KB)
2025-12-30T06:26:34.074604145Z [err]  2025-12-30 06:26:34,072 - core_calling_service - INFO - 🔥 Pre-warming LLM client (grok)...
2025-12-30T06:26:34.161025965Z [err]  2025-12-30 06:26:34,159 - key_encryption - WARNING - Failed to decrypt key, assuming unencrypted: 
2025-12-30T06:26:34.172929725Z [err]  2025-12-30 06:26:34,168 - core_calling_service - INFO - ✅ LLM client pre-warmed in 95ms
2025-12-30T06:26:34.172940070Z [err]  2025-12-30 06:26:34,168 - server - INFO - 🔧 Calling create_call_session() - COMPLETE
2025-12-30T06:26:34.172949047Z [err]  2025-12-30 06:26:34,168 - server - INFO - ✅ Session object created: CallSession
2025-12-30T06:26:34.213919818Z [err]  2025-12-30 06:26:34,204 - server - INFO - ⏱️ AI will speak after 2000ms of silence (scheduled in WebSocket worker)
2025-12-30T06:26:34.213919821Z [err]  2025-12-30 06:26:34,197 - redis_service - INFO - 📦 Stored call data in Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA (TTL: 3600s)
2025-12-30T06:26:34.213929526Z [err]  2025-12-30 06:26:34,204 - server - INFO - 🎤 Voice flow - streaming started via dial command
2025-12-30T06:26:34.213929962Z [err]  2025-12-30 06:26:34,197 - server - INFO - ✅ Serializable call_data synced to Redis (agent_id, user_id)
2025-12-30T06:26:34.213936530Z [err]  2025-12-30 06:26:34,198 - server - INFO - ✅ Session stored in worker memory (not Redis)
2025-12-30T06:26:34.213945241Z [err]  2025-12-30 06:26:34,203 - redis_service - INFO - ✅ Marked session ready in Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:34.213952064Z [err]  2025-12-30 06:26:34,203 - server - INFO - 🤖 AI session created for call v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
2025-12-30T06:26:34.213958848Z [err]  2025-12-30 06:26:34,203 - server - INFO - 📦 Custom variables injected: {'lead_id': None, 'qc_tracking_enabled': False, 'track_keywords': '', 'expected_commitment': 'not_specified', 'customer_name': 'Kendrick', 'to_number': '+17708336397', 'phone_number': '+17708336397', 'email': None, 'from_number': '+14048000152'}
2025-12-30T06:26:34.213965140Z [err]  2025-12-30 06:26:34,204 - server - INFO - ⏭️ Skipping persistent TTS creation in webhook - will create on-demand with telnyx_ws
2025-12-30T06:26:34.213971853Z [err]  2025-12-30 06:26:34,204 - server - INFO - 👤 Who speaks first: user, aiSpeaksAfterSilence: True, timeout: 2000ms
2025-12-30T06:26:34.213978918Z [err]  2025-12-30 06:26:34,204 - server - INFO - 👂 User speaks first - waiting for user input...
2025-12-30T06:26:34.213985852Z [err]  2025-12-30 06:26:34,204 - server - INFO - 🛡️ Voicemail timeout protection started (15000ms)
2025-12-30T06:26:34.236154142Z [err]  2025-12-30 06:26:34,232 - redis_service - INFO - 📥 Retrieved call data from Redis: v3:OK2b1rFz5bxZX81esdlfqkeMnLj0vTvisSMnNO4MMizV5G_iwPQzdA
